2941                          FILE ATTRIBUTE IS NOT OF TYPE REAL.               
2951                          FILE ATTRIBUTE MUST BE LEFTMOST IN LEFT PART LIST.
3001 FILL STATEMENT           IDENTIFIER FOLLOWING FILL NOT ARRAY OR FILE       
3002                          IDENTIFIER                                        
3011 FILL STATEMENT           MISSING WITH IN FILL STATEMENT                    
3021 FILL STATEMENT           IMPROPER FILL ELEMENT                             
3031 ANYWHERE                 NONOCTAL DIGIT IN OCTAL NUMBER                    
3041 FILL STATEMENT           IMPROPER ROW DESIGNATOR IN FILL STATEMENT         
3051                         NUMBER OF DATA WORDS EXCEEDS 1023.                 
3061 ANYWHERE                 NONOCTAL DIGIT IN OCTAL STRING                    
3501 CHECKCOMMA:              MISSING OR ILLEGAL PARAMETER DELIMITER IN SORT OR 
3502                          MERGE STATEMENT.                                  
3511 OUTPROCHECK:             ILLEGAL TYPE FOR SORT OR MERGE OUTPUT PROCEDURE.  
3521 OUTPROCHECK:             OUTPUT PROCEDURE IN SORT OR MERGE STATEMENT DOES  
3522                          NOT HAVE EXACTLY TWO PARAMETERS.                  
3531 OUTPROCHECK:             FIRST PARAMETER OF OUTPUT PROCEDURE MUST BE       
3532                          BOOLEAN VARIABLE.                                 
3541 OUTPROCHECK:             SECOND PARAMETER  OF OUTPUT PROCEDURE MUST BE     
3542                          ONE-DIMENSIONAL ARRAY.                            
3551 SORTSTMT:                MISSING LEFT PARENTHESIS IN SORT STATEMENT.       
3561 HVCHECK:                 ILLEGAL TYPE FOR SORT OR MERGE HIGHVALUE          
3562                          PROCEDURE.                                        
3571 HVCHECK:                 HIGHVALUE PROCEDURE DOES NOT HAVE EXACTLY ONE     
3572                          PARAMETER.                                        
3581 HVCHECK:                 HIVALUE PROCEDURE PARAMETER NOT ONE-DIMENSIONAL   
3582                          ARRAY.                                            
3591 EQLESCHECK:              SORT OR MERGE COMPARE PROCEDURE NOT BOOLEAN.      
3601 EQLESCHECK:              COMPARE PROCEDURE DOES NOT HAVE EXACTLY TWO       
3602                          PARAMETERS.                                       
3611 EQLESCHECK:              COMPARE PROCEDURE FIRST PARAMETER NOT             
3612                          ONE-DIMENSIONAL ARRAY.                            
3621 EQLESCHECK:              COMPARE PROCEDURE SECOND PARAMETER NOT            
3622                          ONE-DIMENSIONAL ARRAY.                            
3631 INPROCHECK:              SORT STATEMENT INPUT PROCEDURE NOT BOOLEAN.       
3641 INPROCHECK:              INPUT PROCEDURE DOES NOT HAVE EXACTLY ONE         
3642                          PARAMETER.                                        
3651 INPROCHECK:              INPUT PROCEDURE PARAMETER NOT ONE-DIMENSIONAL     
3652                          ARRAY.                                            
